NO_OF_FRAMES	5100
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-10-13, 13:59:05.613	2665101.19731780
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
1	0.00000	176.902	110.650	296.301
2	0.00333	176.915	110.666	296.304
3	0.00667	176.933	110.659	296.305
4	0.01000	176.927	110.682	296.308
5	0.01333	176.953	110.715	296.312
6	0.01667	176.940	110.699	296.309
7	0.02000	176.922	110.705	296.311
8	0.02333	176.940	110.698	296.310
9	0.02667	176.927	110.682	296.307
10	0.03000	176.926	110.682	296.318
11	0.03333	176.927	110.682	296.316
12	0.03667	176.920	110.705	296.312
13	0.04000	176.939	110.698	296.320
14	0.04333	176.934	110.721	296.322
15	0.04667	176.947	110.738	296.325
16	0.05000	176.935	110.721	296.324
17	0.05333	176.940	110.698	296.310
18	0.05667	176.936	110.721	296.322
19	0.06000	176.935	110.721	296.313
20	0.06333	176.936	110.721	296.322
21	0.06667	176.941	110.698	296.319
22	0.07000	176.935	110.721	296.340
23	0.07333	176.942	110.698	296.328
24	0.07667	176.940	110.698	296.328
25	0.08000	176.942	110.698	296.327
26	0.08333	176.941	110.698	296.320
27	0.08667	176.928	110.682	296.335
28	0.09000	176.941	110.698	296.318
29	0.09333	176.941	110.698	296.320
30	0.09667	176.953	110.714	296.323
31	0.10000	176.935	110.721	296.341
32	0.10333	176.947	110.737	296.335
33	0.10667	176.952	110.715	296.341
34	0.11000	176.934	110.721	296.341
35	0.11333	176.965	110.731	296.335
36	0.11667	176.922	110.705	296.311
37	0.12000	176.939	110.699	296.319
38	0.12333	176.947	110.738	296.334
39	0.12667	176.959	110.754	296.329
40	0.13000	176.959	110.754	296.328
41	0.13333	176.929	110.744	296.325
42	0.13667	176.930	110.744	296.325
43	0.14000	176.949	110.800	296.343
44	0.14333	176.963	110.816	296.337
45	0.14667	176.950	110.800	296.334
46	0.15000	176.938	110.784	296.331
47	0.15333	176.971	110.855	296.334
48	0.15667	176.918	110.790	296.314
49	0.16000	176.913	110.813	296.317
50	0.16333	176.912	110.813	296.307
51	0.16667	176.908	110.836	296.303
52	0.17000	176.938	110.846	296.304
53	0.17333	176.926	110.829	296.301
54	0.17667	176.881	110.804	296.295
55	0.18000	176.908	110.836	296.303
56	0.18333	176.915	110.876	296.307
57	0.18667	176.920	110.853	296.313
58	0.19000	176.927	110.892	296.319
59	0.19333	176.946	110.885	296.328
60	0.19667	176.932	110.869	296.317
61	0.20000	176.931	110.869	296.324
62	0.20333	176.893	110.820	296.299
63	0.20667	176.920	110.852	296.297
64	0.21000	176.932	110.869	296.316
65	0.21333	176.952	110.862	296.317
66	0.21667	176.950	110.862	296.333
67	0.22000	176.931	110.807	296.316
68	0.22333	176.958	110.839	296.321
69	0.22667	176.957	110.839	296.332
70	0.23000	176.956	110.839	296.322
71	0.23333	176.945	110.823	296.338
72	0.23667	176.961	110.816	296.328
73	0.24000	176.950	110.800	296.326
74	0.24333	176.923	110.767	296.311
75	0.24667	176.930	110.744	296.300
76	0.25000	176.929	110.744	296.308
77	0.25333	176.941	110.761	296.320
78	0.25667	176.968	110.793	296.335
79	0.26000	176.941	110.761	296.327
80	0.26333	176.948	110.737	296.325
81	0.26667	176.949	110.737	296.334
82	0.27000	176.965	110.731	296.334
83	0.27333	176.965	110.731	296.335
84	0.27667	176.946	110.675	296.335
85	0.28000	176.959	110.691	296.338
86	0.28333	176.940	110.698	296.328
87	0.28667	176.946	110.675	296.335
88	0.29000	176.959	110.691	296.338
89	0.29333	176.964	110.668	296.353
90	0.29667	176.977	110.684	296.347
91	0.30000	176.952	110.652	296.341
92	0.30333	176.965	110.668	296.344
93	0.30667	176.953	110.652	296.351
94	0.31000	176.939	110.636	296.338
95	0.31333	176.939	110.636	296.338
96	0.31667	176.965	110.668	296.326
97	0.32000	176.952	110.652	296.322
98	0.32333	176.952	110.652	296.323
99	0.32667	176.951	110.652	296.313
100	0.33000	176.946	110.675	296.317
101	0.33333	176.947	110.675	296.326
102	0.33667	176.951	110.652	296.313
103	0.34000	176.951	110.652	296.314
104	0.34333	176.947	110.675	296.327
105	0.34667	176.952	110.652	296.323
106	0.35000	176.933	110.659	296.315
107	0.35333	176.951	110.652	296.313
108	0.35667	176.951	110.652	296.332
109	0.36000	176.945	110.675	296.326
110	0.36333	176.939	110.636	296.311
111	0.36667	176.951	110.652	296.322
112	0.37000	176.933	110.659	296.322
113	0.37333	176.933	110.659	296.323
114	0.37667	176.945	110.675	296.325
115	0.38000	176.933	110.659	296.331
116	0.38333	176.938	110.636	296.319
117	0.38667	176.938	110.636	296.321
118	0.39000	176.940	110.636	296.311
119	0.39333	176.938	110.636	296.321
120	0.39667	176.939	110.636	296.311
121	0.40000	176.943	110.613	296.317
122	0.40333	176.943	110.613	296.317
123	0.40667	176.923	110.558	296.290
124	0.41000	176.931	110.597	296.323
125	0.41333	176.943	110.550	296.292
126	0.41667	176.941	110.551	296.290
127	0.42000	176.947	110.527	296.297
128	0.42333	176.942	110.551	296.318
129	0.42667	176.948	110.528	296.305
130	0.43000	176.958	110.481	296.310
131	0.43333	176.946	110.465	296.326
132	0.43667	176.937	110.426	296.319
133	0.44000	176.951	110.442	296.313
134	0.44333	176.937	110.426	296.320
135	0.44667	176.950	110.380	296.311
136	0.45000	176.955	110.357	296.311
137	0.45333	176.947	110.318	296.312
138	0.45667	176.965	110.311	296.319
